Entity,Code,Year,Nitrogen oxide (NOx),Sulphur dioxide (SO₂) emissions,Carbon monoxide (CO) emissions,Organic carbon (OC) emissions,Non-methane volatile organic compounds (NMVOC) emissions,Black carbon (BC) emissions,Ammonia (NH₃) emissions,Unnamed: 10,Median,Mean,Std
Belize,BLZ,1750,2.0084906,1.7076225,657.43463,41.76135,99.875885,10.978704,47.380722,0.0,18.391253499999998,1100.1228559662281,2247.16688884014
Belize,BLZ,1760,2.1644585,1.8302671,704.65283,44.760723,107.14424,11.767216,51.11898,0.0,18.391253499999998,1100.1228559662281,2247.16688884014
Belize,BLZ,1770,2.3316085,1.9597594,754.5073,47.927567,114.83848,12.599751,55.136753,0.0,18.391253499999998,1100.1228559662281,2247.16688884014
Belize,BLZ,1780,2.51056,2.0960674,806.98596,51.261097,122.96209,13.476108,59.45197,0.0,18.391253499999998,1100.1228559662281,2247.16688884014
Belize,BLZ,1790,2.701929,2.2390473,862.0332,54.75779,131.51302,14.39536,64.083115,0.0,18.391253499999998,1100.1228559662281,2247.16688884014
Belize,BLZ,1800,2.9063175,2.3884132,919.5391,58.41066,140.48216,15.355668,69.049095,0.0,18.391253499999998,1100.1228559662281,2247.16688884014
Belize,BLZ,1801,2.934192,2.4042182,925.624,58.797184,141.43373,15.457281,69.6663,0.0,18.391253499999998,1100.1228559662281,2247.16688884014
Belize,BLZ,1802,2.9621322,2.4199617,931.68524,59.182205,142.38203,15.5585,70.28433,0.0,18.391253499999998,1100.1228559662281,2247.16688884014
Belize,BLZ,1803,2.9901385,2.435644,937.7229,59.565727,143.3271,15.659325,70.903206,0.0,18.391253499999998,1100.1228559662281,2247.16688884014
Belize,BLZ,1804,3.0182106,2.4512649,943.73694,59.947746,144.2689,15.759755,71.5229,0.0,18.391253499999998,1100.1228559662281,2247.16688884014
Belize,BLZ,1805,3.0463488,2.4668243,949.72736,60.32827,145.20747,15.859791,72.14344,0.0,18.391253499999998,1100.1228559662281,2247.16688884014
Belize,BLZ,1806,3.0745528,2.4823225,955.69415,60.70729,146.14278,15.959433,72.76481,0.0,18.391253499999998,1100.1228559662281,2247.16688884014
Belize,BLZ,1807,3.1027188,2.4977593,961.6373,61.084812,147.07483,16.05868,73.38556,0.0,18.391253499999998,1100.1228559662281,2247.16688884014
Belize,BLZ,1808,3.1310537,2.513135,967.55695,61.46083,148.00363,16.157532,74.00858,0.0,18.391253499999998,1100.1228559662281,2247.16688884014
Belize,BLZ,1809,3.1594546,2.528449,973.4529,61.835354,148.9292,16.255991,74.63244,0.0,18.391253499999998,1100.1228559662281,2247.16688884014
Belize,BLZ,1810,3.1879213,2.543702,979.3252,62.208374,149.8515,16.354055,75.257126,0.0,18.391253499999998,1100.1228559662281,2247.16688884014
Belize,BLZ,1811,3.2027173,2.5477324,980.8769,62.306942,150.11522,16.379967,75.55989,0.0,18.391253499999998,1100.1228559662281,2247.16688884014
Belize,BLZ,1812,3.2175412,2.551733,982.41724,62.404785,150.37738,16.40569,75.86301,0.0,18.391253499999998,1100.1228559662281,2247.16688884014
Belize,BLZ,1813,3.232393,2.5557044,983.94617,62.501904,150.63799,16.431221,76.166466,0.0,18.391253499999998,1100.1228559662281,2247.16688884014
Belize,BLZ,1814,3.2472723,2.5596461,985.46375,62.5983,150.897,16.456564,76.47027,0.0,18.391253499999998,1100.1228559662281,2247.16688884014
Belize,BLZ,1815,3.2621794,2.563558,986.9699,62.693977,151.15446,16.481716,76.774414,0.0,18.391253499999998,1100.1228559662281,2247.16688884014
Belize,BLZ,1816,3.2770057,2.5674407,988.46466,62.78893,151.41037,16.506678,77.0774,0.0,18.391253499999998,1100.1228559662281,2247.16688884014
Belize,BLZ,1817,3.2919679,2.5712938,989.9481,62.883156,151.66469,16.53145,77.38223,0.0,18.391253499999998,1100.1228559662281,2247.16688884014
Belize,BLZ,1818,3.3069575,2.575117,991.4201,62.97666,151.91745,16.556032,77.68741,0.0,18.391253499999998,1100.1228559662281,2247.16688884014
Belize,BLZ,1819,3.321975,2.578911,992.8808,63.069447,152.16864,16.580423,77.992935,0.0,18.391253499999998,1100.1228559662281,2247.16688884014
Belize,BLZ,1820,3.3370204,2.5826755,994.3301,63.161507,152.41827,16.604626,78.2988,0.0,18.391253499999998,1100.1228559662281,2247.16688884014
